[2025-05-21 03:59:07.409255] Starting Kafka producer...
[2025-05-21 04:04:07.817924] Sent record 64829
[2025-05-21 04:04:08.818738] Sent record 64826
[2025-05-21 04:04:09.819522] Sent record 64825
[2025-05-21 04:04:10.820425] Sent record 64827
[2025-05-21 04:04:11.821200] Sent record 64830
[2025-05-21 04:04:12.821745] Sent record 64831
[2025-05-21 04:04:13.824601] Sent record 64832
[2025-05-21 04:04:14.825259] Sent record 64833
[2025-05-21 04:04:15.826049] Sent record 64834
[2025-05-21 04:04:16.826762] Sent record 64835
[2025-05-21 04:04:17.827487] Sent record 64836
[2025-05-21 04:04:18.828463] Sent record 64837
[2025-05-21 04:04:19.829361] Sent record 64841
[2025-05-21 04:04:20.830178] Sent record 64839
[2025-05-21 04:04:21.831003] Sent record 64838
[2025-05-21 04:04:22.831826] Sent record 64840
[2025-05-21 04:04:23.832598] Sent record 64842
[2025-05-21 04:04:24.833325] Sent record 64843
[2025-05-21 04:04:25.834195] Sent record 64844
[2025-05-21 04:04:26.835051] Sent record 64845
[2025-05-21 04:04:27.835873] Sent record 64846
[2025-05-21 04:04:28.836706] Sent record 64847
[2025-05-21 04:04:29.837539] Sent record 64848
[2025-05-21 04:04:30.838409] Sent record 64852
[2025-05-21 04:04:31.839411] Sent record 64850
[2025-05-21 04:04:32.840471] Sent record 64849
[2025-05-21 04:04:33.841552] Sent record 64851
[2025-05-21 04:04:34.842546] Sent record 64853
[2025-05-21 04:04:35.843378] Sent record 64854
[2025-05-21 04:04:36.844165] Sent record 64855
[2025-05-21 04:04:37.844990] Sent record 64861
[2025-05-21 04:04:38.845763] Sent record 64863
[2025-05-21 04:04:39.846591] Sent record 64860
[2025-05-21 04:04:40.847312] Sent record 64862
[2025-05-21 04:04:41.848058] Sent record 64858
[2025-05-21 04:04:42.848792] Sent record 64859
[2025-05-21 04:04:43.849712] Sent record 64857
[2025-05-21 04:04:44.850522] Sent record 64856
[2025-05-21 04:04:45.851552] Sent record 64864
[2025-05-21 04:04:46.852368] Sent record 64866
[2025-05-21 04:04:47.853182] Sent record 64868
[2025-05-21 04:04:48.853933] Sent record 64865
[2025-05-21 04:04:49.854687] Sent record 64867
[2025-05-21 04:04:50.855635] Sent record 64871
[2025-05-21 04:04:51.856369] Sent record 64869
[2025-05-21 04:04:52.857179] Sent record 64870
[2025-05-21 04:04:53.857826] Sent record 64872
[2025-05-21 04:04:54.858576] Sent record 64873
[2025-05-21 04:04:55.859119] Sent record 64874
[2025-05-21 04:04:56.859940] Sent record 64875
[2025-05-21 04:04:57.860481] Sent record 64876
[2025-05-21 04:04:58.861277] Sent record 64877
[2025-05-21 04:04:59.862028] Sent record 64878
[2025-05-21 04:05:00.862796] Sent record 64879
[2025-05-21 04:05:01.863559] Sent record 64880
[2025-05-21 04:05:02.864367] Sent record 64881
[2025-05-21 04:05:03.865080] Sent record 64882
[2025-05-21 04:05:04.866111] Sent record 64885
[2025-05-21 04:05:05.866919] Sent record 64886
[2025-05-21 04:05:06.867710] Sent record 64883
[2025-05-21 04:05:07.868545] Sent record 64884
[2025-05-21 04:05:08.869322] Sent record 64887
[2025-05-21 04:05:09.870133] Sent record 64888
[2025-05-21 04:05:10.870930] Sent record 64889
[2025-05-21 04:05:11.871757] Sent record 64890
[2025-05-21 04:05:12.872542] Sent record 64893
[2025-05-21 04:05:13.873325] Sent record 64894
[2025-05-21 04:05:14.874155] Sent record 64891
[2025-05-21 04:05:15.874936] Sent record 64892
[2025-05-21 04:05:16.875817] Sent record 64895
[2025-05-21 04:05:17.876587] Sent record 64896
[2025-05-21 04:05:18.877336] Sent record 64897
[2025-05-21 04:05:19.878108] Sent record 64898
[2025-05-21 04:05:20.878908] Sent record 64899
[2025-05-21 04:05:21.879675] Sent record 64900
[2025-05-21 04:05:22.880555] Sent record 64901
[2025-05-21 04:05:23.881696] Sent record 64902
[2025-05-21 04:05:24.882381] Sent record 64904
[2025-05-21 04:05:25.883195] Sent record 64903
[2025-05-21 04:05:26.883754] Sent record 64907
[2025-05-21 04:05:27.884294] Sent record 64905
[2025-05-21 04:05:28.885075] Sent record 64906
[2025-05-21 04:05:29.885823] Sent record 64908
[2025-05-21 04:05:30.886529] Sent record 64909
[2025-05-21 04:05:31.887315] Sent record 64910
[2025-05-21 04:05:32.888170] Sent record 64911
[2025-05-21 04:05:33.889074] Sent record 64912
[2025-05-21 04:05:34.890015] Sent record 64913
[2025-05-21 04:05:35.890816] Sent record 64914
[2025-05-21 04:05:36.891625] Sent record 64915
[2025-05-21 04:05:37.892568] Sent record 64916
[2025-05-21 04:05:38.893350] Sent record 64921
[2025-05-21 04:05:39.894146] Sent record 64920
[2025-05-21 04:05:40.894917] Sent record 64922
[2025-05-21 04:05:41.895728] Sent record 64918
[2025-05-21 04:05:42.897843] Sent record 64919
[2025-05-21 04:05:43.898676] Sent record 64917
[2025-05-21 04:05:44.899364] Sent record 64926
[2025-05-21 04:05:45.900148] Sent record 64924
[2025-05-21 04:05:46.900722] Sent record 64923
[2025-05-21 04:05:47.901512] Sent record 64925
[2025-05-21 04:05:48.902312] Sent record 64927
[2025-05-21 04:05:49.903146] Sent record 64928
[2025-05-21 04:05:50.903939] Sent record 64929
[2025-05-21 04:05:51.904782] Sent record 64931
[2025-05-21 04:05:52.905479] Sent record 64932
[2025-05-21 04:05:53.906283] Sent record 64930
[2025-05-21 04:05:54.907181] Sent record 64933
[2025-05-21 04:05:55.907966] Sent record 64934
[2025-05-21 04:05:56.908752] Sent record 64935
[2025-05-21 04:05:57.909668] Sent record 64936
[2025-05-21 04:05:58.910422] Sent record 64939
[2025-05-21 04:05:59.911219] Sent record 64937
[2025-05-21 04:06:00.911988] Sent record 64938
[2025-05-21 04:06:01.912803] Sent record 64941
[2025-05-21 04:06:02.913548] Sent record 64940
[2025-05-21 04:06:03.914346] Sent record 64942
[2025-05-21 04:06:04.915315] Sent record 64946
[2025-05-21 04:06:05.916124] Sent record 64944
[2025-05-21 04:06:06.916941] Sent record 64943
[2025-05-21 04:06:07.917701] Sent record 64945
[2025-05-21 04:06:08.918394] Sent record 64948
[2025-05-21 04:06:09.919340] Sent record 64947
[2025-05-21 04:06:10.920096] Sent record 64949
[2025-05-21 04:06:11.921150] Sent record 64950
[2025-05-21 04:06:12.921933] Sent record 64951
[2025-05-21 04:06:13.922757] Sent record 64952
[2025-05-21 04:06:14.923455] Sent record 64953
[2025-05-21 04:06:15.924247] Sent record 64954
[2025-05-21 04:06:16.925061] Sent record 64955
[2025-05-21 04:06:17.926029] Sent record 64956
[2025-05-21 04:06:18.926756] Sent record 64957
[2025-05-21 04:06:19.927517] Sent record 64958
[2025-05-21 04:06:20.928275] Sent record 64959
[2025-05-21 04:06:21.928816] Sent record 64960
[2025-05-21 04:06:22.929484] Sent record 64966
[2025-05-21 04:06:23.930295] Sent record 64965
[2025-05-21 04:06:24.931034] Sent record 64964
[2025-05-21 04:06:25.931772] Sent record 64962
[2025-05-21 04:06:26.932717] Sent record 64961
